2025-08-07 22:33:25,359 | ERROR | ❌ NOTION_SAVE_FAILED: Failed to save analysis to Notion
2025-08-07 22:33:25,359 | ERROR | Context: {'user': 'Marc', 'food': 'Panini Sandwich and French Fries'}
2025-08-07 22:48:11,751 | ERROR | ❌ WEEKLY_COMMAND_ERROR: name 'timedelta' is not defined
2025-08-07 22:48:11,751 | ERROR | Context: {'user': 'Marc'}
2025-08-07 22:48:17,111 | ERROR | ❌ NO_DATA_FOUND: No calorie data found for 7/2025
2025-08-07 22:48:17,111 | ERROR | Context: {'user': 'Marc', 'period': '7/2025'}
2025-08-07 22:52:12,554 | ERROR | ❌ WEEKLY_COMMAND_ERROR: name 'timedelta' is not defined
2025-08-07 22:52:12,554 | ERROR | Context: {'user': 'Marc'}
2025-08-07 23:06:10,552 | ERROR | ❌ NO_DATA_FOUND: No calorie data found for 7/2025
2025-08-07 23:06:10,552 | ERROR | Context: {'user': 'Marc', 'period': '7/2025'}
2025-08-07 23:11:51,795 | ERROR | Failed to write to JSON file logs/monthly_reports/reports_0_00.json: keys must be str, int, float, bool or None, not date
2025-09-02 20:42:55,765 | ERROR | ❌ File not found: Ground truth database file not found
2025-09-09 19:34:32,309 | ERROR | ❌ Text processing error: Error processing food text: 'CaloriesBotLogger' object has no attribute 'error'
2025-09-09 19:40:11,097 | ERROR | ❌ Test: This works
2025-09-09 19:40:58,155 | ERROR | ❌ Test Error: This should work now
2025-09-09 19:41:29,927 | ERROR | ❌ Test Error: This should work now
2025-09-09 19:41:29,927 | WARNING | ⚠️ Test Warning: This should work now
2025-09-09 20:44:09,443 | ERROR | ❌ Text processing error: Error processing food text: 'FoodAnalysisResult' object has no attribute 'get'
2025-09-09 20:57:24,939 | ERROR | ❌ Text processing error: Error processing food text: 'FoodAnalysisResult' object has no attribute 'get'
2025-09-11 10:54:33,337 | ERROR | ❌ TEST: Testing logger functionality
2025-09-11 10:56:44,415 | ERROR | ❌ AI text analysis error: Error analyzing food text: Error code: 401 - {'error': {'message': 'User not found.', 'code': 401}}
