Werte,Ursprung,Stehe ich dahinter
Selbstständigkeit,Eltern,ja ich versuche die Dinge selbst anzugehen
Entdecken/Neugier,Familie/Kindheit,"ja, immer neues wissen, neue wege gehen, normal ist langweilig"
Geben/helfen/teilen,Mindvalley,"Ja, weitergeben was ich gelernt habe"
"Lernen, Wachstum, Transformation",Büchern,"Ja, Persönlichkeitsentwicklung begleited mich und ich will mich konstant verbessern"
"Ordnung, Planen",Eltern,"Ja, beginne wichitges, es muss nicht gleich fertig sein, aber beginne es. Du brauchst einen Plan im Leben"
"Zusammenhalt, Gemeinschaft",Freunde,"Ja, eine Gemeinschaft, zusammen mehr erreichen, in einer Gruppe sein ist mir wichtig, mit anderen zu sein "
"Agilität, Flexibilität",Das Leben,"Ja, durch immer neue Erkenntnisse und Erfahrungen muss man sich anpassen und neues wagen"
"Zufriedenheit, Dankbarkeit","Büchern, Mindvalley","Ja, happiness in the now, sei Zufrieden und dankbar für das was du hast"
"Freundlichkeit, Empathie",Ich selbst,"Ja, immer offen sein für neues und jedem gleich begegnen"
,,
