Name,Author,Date Finished,Duration,Fiction?,Genres,Notes Status,Rating,progress
Super Reading,Jim Quick,"January 18, 2019",,Non-Fiction,"Productivity, Study, reading",Published,5-Star,
Habit of Ferocity,Steven Kotler,"February 2, 2019",,Non-Fiction,"Creativity, Life Advice, Philosophy, Productivity, Study",notes in review,Lifechanging,
The Quest of personal mastery,Sirkuma Rao,"August 19, 2021",45 days,Non-Fiction,"Creativity, Life Advice, Philosophy, Productivity, communication",notes in review,4-Star,
6 Phase meditation,Vishen Lakhiani,"March 4, 2021",6 days,Non-Fiction,"Creativity, Productivity, meditation",notes in review,4-Star,
Hero Genious Legends,Robin Sharma,"October 15, 2020",66 days,Non-Fiction,"Business, Creativity, Life Advice, Philosophy, Productivity, Study, Writing, communication, entrepreneur",notes in review,5-Star,
The Power of Boldness,Naveen Jain,"July 16, 2021",,Non-Fiction,"Business, entrepreneur",notes in review,3-star,
"Authentic Networking ",Keith Ferazzi,,21,Non-Fiction,"Business, Life Advice, communication, entrepreneur",notes in review,4-Star,
Be extraordinary,Vishen lakhiani,"August 19, 2020",30 days,Non-Fiction,"Business, Creativity, Life Advice, Productivity, meditation",notes in review,5-Star,
Lucid Dreaming,Charlie Morley,"March 12, 2021",30 days,Non-Fiction,"Creativity, Life Advice, Medical, meditation, sleep",notes in review,4-Star,
Awaken the Species,,,,Non-Fiction,,notes in review,,
Money EQ,,,21,Non-Fiction,,notes in review,,day 21
The 3 Most Important Questions,Vishen Lakhiani,,7 days,Non-Fiction,"Creativity, Life Advice, Productivity, communication, entrepreneur",notes in review,5-Star,
Super Brain,,,,Non-Fiction,,Notes In Progress,,
Becoming indestractable,Nir Ejal,,28,Non-Fiction,"Business, Life Advice, Productivity, Study",Notes In Progress,4-Star,11
Ultimate Leadership,,,21,Non-Fiction,,Notes In Progress,,day 8
The Stage Effekt,,,,,,,,
"Course Pro ",,,,,,,,
The Transformational leader,Monty Moran,,14,Non-Fiction,,notes in review,,
Uncompromised Life,,,,Non-Fiction,,notes in review,,
A Journey to Infinitheism,Mahatria,,21,Non-Fiction,,notes in review,,finish
Wildfit,,,,,,,,
Speak and inspire,Lisa Nicols,,30,Non-Fiction,,Notes In Progress,,9
Gut Health,,,,,,,,
Masterclass,,,,Non-Fiction,,Published,,
The Value factor,,,,,,,,
Purpose finden by Zentor,,,,,,,,
Amplify with AI,,,,,,,,
